tagging,cleaned_comments
1,try putting lemon peel around base tree supposedly cat hate citrus smell
1,love new hampshire well white mountsim maine know hate cold also hence moved fla
1,dont bother low fat brownie
1,yes shewolf love even possible team root im faithless whore struck amor
1,dont hate yogurt recover hating yogurt go trader joes get greek style kind fantastic
1,stop keep thinking youre going say he im waiting vicariously dammit hate waiting baby
1,ohhhh like well shit girl u shud pissed aaand u needa tell bf blood using as
1,lol tell go sit as somewhere lol
1,hate see people one people think okay
1,clue ive stumbled upon laughed as might
1,oooh im going weekend hate mall xmas time bah
1,oooh wish could shave widow peak get hang right bitch grow back lol
1,ugh know isnt one hate go post click open jpg yuck
1,imagine another thing every time open reader subscription folder open hate
1,jokingly remarked man internet whore thought meant porn star lol doesnt get
1,agreed fuck twitter grader kin
1,jvc lcd reference monitor word awefuckingsome great accurate good get 4k
1,fat ol santa may eat cookie also touch youngest sleep
1,ew suck im sorry
1,said fuck everyone
1,okay fuck way start new year
1,well u looking sex watch fat boy freaking pillow thats playing e
1,retarded oracle peoplesoft login thing keep coming enrolment cart page dont know fuck going
1,ripping emo phillips badumbum joke wouldnt get vote even webvoter type
1,would nice hate feeling violated every month payoff
1,damn four hour hour plane ride
1,hate math really dobut happy well finish university
1,dont hate cuz im beautiful jk youre probably young seen commercial ha whats wrong chippers
1,bad as gathering may come course best part hanging downtown
1,kick don as hug
1,as ball lmfao
1,weird hate sometiimes list get little unwieldy
1,paypal suck someone using identity refuse anything
1,aw man suck
1,freak passing shower walking suddenly big drop came thought oh shit ducked poured
1,omgomgomg shoe little flower holy fuck want
1,ugh half time people pick free stuff craigslist theyre driving luxury car heh hate
1,damn im trying watch moviethe tweet going huck p lol kidding dont get pissed alright dddlololol
1,damn really become ordinary man man suck as lol p
1,fucking sad ovum samurai xi didnt want watch fuck almost cried lol p jk
1,hate rainwud rather snowcrazy knolol
1,got read gon na reread thoim stuck whilesucks thx helplove ur stuff
1,might install youve acted guinea pig
1,workplace isnt safe need harden fuck p
1,suck hug
1,probably fuck know whats going show anymore
1,k im hella boredddddddd hurry fuck saw bro playing game look sick
1,omg holiday need end plz ppl soo mean nothing jolly holly suck
1,damn thats lot money ticket guess little girl turn 16 though
1,going work grassroots gay right project involve community color
1,suntem dar ne gandem cum sa gasim mascota care sa putem scoate din dulap cand vrem sa acuzam pe cineva pt nenorocul nostru
1,use cuz hate itunes
1,heard jfish song want sneek peak send song cd im jfish freak lol
1,haha exactly love new picture wondering going use cute as picture love
1,like look meeting need necessarily kissing as although
1,damn iphone made brad angelina pick blurry
1,laball damn day soooo much work
1,well lady im u comin frisco hunt as
1,fuck em
1,giggled loud dyslexic as read fluffy as rubbing
1,whaha ja maar het zon raar idee dat ze dat lezen xd en dat bob fucking bryar iets tegen gezegt heeft xd je moet vragen
1,weekend ofzo 3 still hate twitter 4 love gerard he writing umbrella academy still havent read yet shame
1,bet freezing north suck ugh
1,suck actually guest first time radio
1,suck alright
1,damn ill wait month send mine critique lol
1,man fuck lakers
1,yeah people think im bitch cuz got screwy sarcastic sense humor tends tick people username
1,dude sleep angel song straight as bawling also love song hey hey harvest moon
1,love job would hate miss itim depended upon especially week im needed toddler party
1,hahaha year ago sleeping applied lip hate guy hve better lip 4 lipstick
1,know revenge vinyl u sorry delayed answer internet suck trip
1,401 always suck cobourg kingston ill joyous trek boxing day visit relative
1,happy fucking bday old man lt3333333333 celebrate tonight tall cold one wooo
1,hahahhahaahhahaha lulz still cunt hahahahahahahah lulz lulz lulz lulz lulz
1,unnngggg used fucking word im never saying epic fail ever againooo id like give sock thnevermind
1,hahaha honestly fucking crack shit like ppl need srsly lighten lt3333 ya
1,hope lot cursing video oh wait cant fucking curse anymore baaaaahhhhh dam
1,fuck im divorcing ur fucking as hmp
1,paaaaaaaarrrtttyyyy wait fuck move im moving haha
1,psshhh wrong side shut fuck
1,video made angry want punch shirley phelps roeper fucking face man hope die hate ung
1,really oh fuck ok take back dan marino im sorry ok blame romo whitten im
1,sent ull prob get like billion year since cingular suck
1,guess made fucking surprise dream last night butthead thanks martha stewert love dream baaah
1,coat rack contest fab lab hate winter would help channel emotion something constructive
1,santa cycle rampage ride start 1030 fat abbey bier cafe juneau water bring best red white costume
1,trying say saran wrap bacon fat rubber band currently use dont count real glove
1,nerd
1,omfgshz hate lemonbars deep passion
1,hate say john dad major obgyn yeah nightmare hold flu positive
1,damn putting chocolate cake shame
1,lol lullabot employer group fun nice people kicking major drupal as world
1,gay man
1,let know want copilot tonight keep as awake
1,josh need medication stat kick as
1,let fucking go tonight know want least hang fucking hate alone sometimes
1,welcome spend night time next time steal cover im gon na cunt punt really
1,clarify really cunt punting really welcome come anytime
1,kick pirate as got married sayin
1,rare sentence sorta depressing especially light loser cam xmas gift
1,hope singing along id hate think im torturing poor little pixel
1,damn right horrible stuff yuk
1,hate tell get worse 1440 uk office want jump window
1,especially rocket hate celery though
1,saw whats name far fat bastard
1,noooo caffeine let kick as celebrate cmon girlie got goin
1,dont hate always recognize commercial voice like gene hackman lowes really omg
1,one assume including medamn
1,sound persnickety cant catch vlog reboot im damn lazy tomorrow
1,always thought hermy wannabe dentist
1,im dragging mature as bed gnight hawt girlie woot
1,fuck merten
1,probably reattach fucking as laughed
1,suck least ipod still least im alone
1,hot damn champ right old school tt shell helmet whole trip backwards even huoooooooah
1,piss
1,seen bitch magazine article twilight absitence porn
1,thats sayingthey need pay methats mttafcking free promotion ungrateful as people
1,heh ping come gay paris interview eachother red carpet
1,im man twitter 20 6 morn damn
1,oh hey thats good make much sense floating around head 1001 us goose fat
1,sony vega fucking amazing
1,stop stealing schtick whore
1,depends sit hate would able half day
1,tell fuck theyll listen
1,ive noticed cant spell much beyond nom bark suck there one k two b scrabble
1,neat damn ps3 maybe convince mom dad ps2 need upgrade xmas
1,doesnt sound nice somebody made redundant one day trade last year swatch know suck
1,dunno offer fuckton beer fridge saturday
1,youre quite right withdraw aggressive commenting fuckton widely used
1,basically agreed awesomebad as gon na lie brought
1,thought youd preparing best luck bad as opportunity
1,gav suck u ok think brake would best stay
1,dont know drew as pretty tiny knee work except drew knee dont work
1,uh yeah joe wondering fuss put as make sure tight done
1,ha ha loser
1,share gay boyfriend left 1 morning totally coulda 9 1 ill keep first shift
1,update phone lot add twitter contact damn bsa getting high tech
1,hate walmart anymore im gon na start taking cart spike barbed wire maybe flamethrower
1,hate behind slow plow storm nice plowed road hate going slow ugh
1,moonlight dryness damn 5am wakeup
1,welcome world youre sick people think youre funny others hate nobody want suck cock
1,im jealous get emo lack season nature sleep
1,wait shut phone company who going sponsor emo olympics
1,there gon na nerd party utah new year
1,fat r u serious remind slap u c u saturday mkay
1,hey leat got something know get work found 2day nadda bah hum bug damn scrooge
1,damn hard last attack gnocchi answer youll win
1,get fucking brain
1,hate trying hear loud music lol
1,get one someone stick boot as
1,damn shady would put false report
1,suck scrabble
1,damn wont going
1,guy weird solid fat looking type skinny leg funny scary
1,here teach phone say fuck properly dont tell parent
1,wow r u serious damn period time skip lol
1,damn knew said nobu autotune would already hummin
1,ew u slut get skype lt333333
1,prospective client im returning call dumb as
1,dude offence youre awesome currently think hate 0
1,figured ti season fat bit start working properly weight new yeara coming gym
1,idea damn tempting ive already procrastinated drawing road zebra crossing
1,whats operating system window vista vista suck badit full bug still shuts freezing alot
1,wow suck well wish luck going crash good night ok stay warmits freezing
1,youre gon na get fat
1,lol bad gangsta bitchwo pretend classylol love holiday fav 2nd bday
1,omgmargeaux reach octave range swear make see red know grate fucking nerve
1,fuck right hoodie thieving comment
1,point taken fuck
1,grrr hate exfriend get touch something great tell o_0
1,oh yeah would good one still think could kick as got get life
1,str8 term technically penetration mean still ur vcard gay term isnt virgin sex sex
1,whiterabbit819 stfu u as care thats matter
1,yall fucking classy miss
1,say ahaha thanks auntie kim always say grassy as shes amazing
1,know hate comment anonymous cant figure
1,fuck yeah noticed
1,yep blocking absurd hate ur preparing throw way 54321
1,dont think gay right group could force church gay marriage church cant force gay become straight tcot
1,yeah apparently anytime use word hate tweet as get retweeted subsequently followed reminds 9773
1,bitch werent following
1,hey dont knock portoj youve tried itas cold remedy go youre still sick longer give damn
1,thats adventure pas oh damn take present back
1,dont use touchpadi hate always use usb mouse toshiba family four
1,damn jim idk say sorry man
1,ahhh yur slut stache damn gurltug
1,totally as end jeep life form impacted
1,bitch laundry first haha jk
1,mind state politics joe smith mammal prophet mammal gay even heterosexual anal sex
1,id like get signed copy running like fat bastard pleez complete fitness lit collection
1,hopefully ill able get damn thing he ferocious cornered hungry feeling rascally
1,ole cell phone yeller elevator suck
1,love though say sylar favorite villian show love hate hehe
1,yeah blond gay guy came audition almost fell chair saw looked identical chris corner
1,btw hate new pepsi logocan maybe cause didnt get one mailha jk
1,nominate shorty award business bad as say like mean
1,found email buried inbox count ive receiving end foodbanks growing suck bigtime
1,hate rub say 70 thermometer may beach walk early today aviod sprinkle
1,see mike huckabee daily show earlier week got pretty intense gay marriage topic
1,avocado favourite good fat hahaha im afraid indulged 2day avocado w homemade cheese nacho black olive
1,mine seem fuck time im 30 buck ill leave way 23 month finally put entry cont
1,fuck snow bring
1,weve maybe 1 total across 34 different snow first time snow tire ever cant damn fun
1,man youre texting driving haha crazy damn youre lucky wish parent would let go 30 chance im going
1,aw suck
1,oh suck apply targetswalmarts
1,haha dont really like walmart much either hmm yeah suck hope find one
1,hey remember lizzy david cook forum howve im guessing pretty damn awesome right p
1,reid made urghhh hate shopping trauma sent hiding cover maybe cold
1,damn seeing season premire month ago
1,dont even know half trust sallie mae one bitch wish could divorce right
1,hateyousomuch
1,hate
1,damn straight
1,hey thx hate win xp crash anymore necessary conservative im gon na try chrome
1,hate happens people nice dont deserve embarassment sort
1,ugh know ro fucking reminded red bull told wake bibingkas gon na sore nightmare
1,omg like 19 muahahahahaahahahahahahahahaaha youre fucking cradle snatcher bb
1,faka update twitter fucking homo sapien
1,r fucking real might leave josh cant wait gt_lt
1,dropped old 35 floppy system disk mac paint retro mac crap kick as photo
1,mean hate bought doesnt speak
1,could account getting removed suspicious behavior damn spammer
1,damn hell deal drama queen coming woodwork lately
1,mad dick van dyke crossover decade ago carl reiner reprised role alan brady
1,wait final cut documentary sex change dont want fuck continuity
1,freak yeah
1,yea got heatsink bigger server lol great machine loving except leg bent damn courier grr
1,sure could use lil snow people would freak lol
1,im sad there 15 minute left hate show week lol
1,dude think twinke whateva call damn cool lol
1,sweeet youve become cooler book someone said earlier today kick as 80
1,amen thrilled see brad suck rock band 2 congrats man hope get 80 m point ftw
1,happy suck snow
1,immortal invincible privileged allpowerful abovedalaw iamdalaw da end justify da mean dont give fuck im
1,hate never snow live canada want hate snow
1,afraid people would think meant actual buckeye hate peanut butter wchocolate ok lol yummm
1,damn
1,stand much give fuck
1,take girl hood cant take hood girl detroit didnt make pussy thats forsure
1,im horny god damn porn fuck eon need real cock wheres ashley
1,would fuck drunk lulz
1,bitch better share vivid alt shit isnt anything vagina moistness fuck eon want toseecopulation
1,cock juggling thundercunt best childish insult ever
1,yes twitter directed frank miller horrible screen play damn frank miller ill keel
1,zomgz fontfeed font freak174 used 5000 font puter poor thing nearly choked death
1,hate suv theyre great big ugly road hazard far im concerned people really need
1,first time youll soon sick damn thing
1,damn australian
1,oh suck blew appointment yesterday couldnt face wait
1,c hit hay still hate boston
1,yeah really suck need manage time better guess maybe party haha oh well cest la vie guess
1,slap bitch want choke bitch like wayne brady
1,got fuck christmas babe
1,welli peeand stupid as lifted seat hand holdin phone inthenploop
1,damn straight say danie epic rap party break since well yes
1,haha someone told katie bitch like ehh death cab jack mannequin fghsdj lt3 hehe
1,john mayer jack mannequin andrew mcmahon life support sound emo anything ahaha
1,like bitch wussup ahahaha
1,needed axcuse share hate oatmeal actually
1,damn woman dont know strength lol
1,dont always agree time slow hell stop getting emo
1,didnt yet maybe hate u sad day
1,lol as
1,hasnt scored 82 he taken team final damn near
1,thats fucking get fucking video
1,as
1,show suck always scare boo danny fail
1,yes cant fucking wait hardly bring review must dont want
1,fuck _ ill thats alone time meditate pipe star rflecting thnkng
1,couldnt agree didnt feel like loser would say win understanding
1,damn mythbuster guy anyone work life alameda must crazy anyway
1,lmao hate lt3
1,hate want bed
1,bitch slapped cousin
1,ihatehim he uggg
1,oh fine doesnt shut fat fucking mouth
1,violent as
1,fuckery always welcomedonly second hate speaking whichi havent told much hate lately
1,fat boy sweet talker
1,kombat leave computer damn
1,wan na get ring mean ur great kid fuck
1,havent palestinian suffered enough without deal fat foolheh
1,ahhh hate
1,lol youd go gay zac efron
1,would cremated son bitch id tale grabbing as right
1,right reciprocity bitch way lauren hill meant
1,grammar nerd
1,there dfference damn
1,mark ya dick head old man
1,hate people update fb status day unless absolutely necessarytweetsthats theyre
1,damn
1,people ignoring suck big time lol especially thought better seei see
1,damn hell getting hope though talking daley
1,lmao confused bitch
1,never said anything lovin ya dick cheese say name alot probable fuck somewhere
1,life dicktongue
1,crutch suck big time hate lol hope get better soon p
1,esp someone working employer supportive gay right seems wrong someone show work
1,regarding tea obsession become gay break thermite man shape
1,show thug nigga wood eating beetle drinking piss nigga gangsta
1,line sand watching show computer screen hate w42 inch plasma groovy sound never go back
1,fucking bitch
1,opposed non fucking fuck
1,attention whore
1,emo damn
1,dick clark looked sloshed last night thinking animatronic
1,bad gay work company like write people sneezing
1,fat tire steak taquitos rockettransfercom ajs court dsm
1,losing winter insulation one horrific side effect biggest loser nobody warns brutal
1,hate rag bone much
1,emohairhip hopfitted hat
1,would proud mean youre whore polygamist
1,he upset brandyns work area id hate see wha think mine p
1,whoa marc blucas new hair fucking crime humanity horror loveable goof douchebag instantly
1,unfortunately cant take credit blog found surfing net 4am laughed as
1,p fuckitty fuck fuck def worse say holy place especially youre catholic
1,also let know irish accent suck podcasts
1,hate zzzzzzzz
1,hey stop twitting post damn blog
1,oo bingo waaaaay hard hate wan na fuck itwait thats didnt come right
1,xd know hmm wonder feel like fuck bingo hard hmmmm gu ill never know
1,oh youuuu little bitch keep winter glove away zipper im sure youll fine
1,sound amazingly astoundingly gay thats bad sound like man desperate need pillow sham
1,much hate autodms also check link theyre music related
1,im blocking value go back telemarketing loser marketing scheme
1,edward bella slightly le emo
1,yeah mean mean person horribly judgemental towards one specific victim poor guy retard
1,damn
1,youre bath worked as youre coming home great thing fun fun fun
1,mother bitch
1,suck teacher poor guy isnt class full adult act mature like adult supposed
1,fuck yeah far failing
1,fuck
1,fuck yeah
1,well gay hippie stoner music
1,aw man suck
1,oh everyone ok damn rain ruining bffots day
1,care hate ftw knitting crocheting bed lt3
1,damn
1,sigh oh karrine said phrase slut butt site called momlogiccom fuckn rule lmao
1,rocket damn make wan na turn neyos gay as tv sit
1,wow really suck lol
1,suck know looking forward hook
1,fuck yeah swing sometime 17th ill take roccos yeah think
1,hate every movie one look know look haha
1,read post sincerity suck thank feel le guilty holding certain sincere people accountable action
1,maybe theyre looking carl damn carl
1,fat baby drinkinggg listening duffys band
1,p hate
1,brush bang eye join emo grief
1,suck
1,yeah hate bitch im glad chief killed dude
1,oooh shit forgot gon na tell yall _o ummm oopsieugh hate short term memory
1,departure sonics ive adopted squad still fuck w cp3 hornet got ta go pacific nw
1,damn straight
1,seen ugly as phantom woman wouldnt sleep didnt woo u melody fauxmance
1,damn ho sick fuck
1,jesus fucking h christ
1,fuck change name know yeah neither mom
1,specific didnt choke right bit back banging as clear
1,still got as whooped haha
1,go cowboy yup said two tear bucket fuck lol
1,go fuck
1,cause need get mind away bullshit hereim bousta say fuck doin musicjust promote others
1,mean damn get back ya brother
1,dick van dyke way cooler
1,kidding bloody hate anime liked bleach
1,necessarily agree hitler action damn good general got germany depression
1,ill love biblical sense soon chop emo hair
1,u whore
1,quit gay ex wouldt sleep much
1,fuck man im vegetarian today make harder
1,hahaha tom cruise fuck
1,album fucking shit
1,yes yes fucking yes
1,im hammered want hot damn
1,yknow stereotyped emo know plenty older people follow trend cult whole way
1,dion fuck sayin lol
1,dude youre gon na hate tshirts da tshirt lover
1,damn constant banoffee pie mention tempting lol
1,fucking pallys learned hate playing warcraft iii fuck rogue
1,hell yeah invisible sneaking nonsense almost want play one time fuck people though
1,belting song fiddler roof rocky horror picture show might gay jewish man
1,evilbeet u feel u watch jon kate plus 8 fucking ur face purely advertisement
1,jiathat dead as wrong
1,round house kick ur al qaeda lookin as face flip flop
1,ok send bitch haha
1,freakin hate hi rose rose last name idiot lol
1,as need nyc shit
1,please doanything sexy bitch
1,said listen cunt hope year brings prosperity happiness got gun blew brain
1,srsly hate
1,turn hate shopping way many sound smell want pee everything
1,big as waffle breakfast catching game 08
1,dare dat as 2 say sumthan else stupid u da stupid bitch
1,fuck aint partyn lik dat jayla u stupid
1,jayla u tok dat da wrn way meanin u wear panty as nothn sexula dnt thankn dat
1,n bot barbara got angie as guh n tela laughn 2 dam hard
1,judge chevere daley centershes hispanic bad as bad id never want go law school
1,youll get win end fuck shit face ange sez
1,youre bitch
1,suck
1,hate much
1,beamer underwhelming kind issue onboard computer nothing major enought piss
1,he asshole id fucking bean love game starring kevin costner
1,damn dude
1,wow bad as haha
1,yeah tmobile germany offer unlimited worldwide calling tmobile phone usa offer nationwide suck
1,scar face threatening dont like liar threat unexplained coincidence kindly fuck
1,damn eddie
1,u lamb add gay category ur award nominate others
1,yesand fucking disowned grumble
1,well fuck yeah allston imma try one jersey got 2day bamboozle tic today
1,uh uh u fucking bitch haha dont take coat skinny jean slipper glove bomber hat scarf
1,gon na make bklyn see whats hell fucking yeah
1,savor as p
1,ill crab as bah humbug
1,damn damn damn james
1,ok dont care say pc bc queer ftr gay friend would say something worse
1,yes yes gay
1,son bitch hahahahahahaha
1,hate know
1,u lucky whore
1,bamf badass mother fcker
1,fuck feel awful wait
1,damn hate ed hardy
1,pig wow always thought plenty space many eat
1,jokinghate people act way
1,picture fat guy leotard
1,damn suck
1,damn right
1,ur huge loser u know lol
1,hate sewing period
1,dont worry karma one mean as bitch theyll get whats coming
1,retard
1,haha gay stuff good cuz tend attracted female haha jus chillen getting ready work
1,hate u like miniature dog hate people dressing tshirts little booty
1,fuck u biatch
1,hate
1,fuck
1,fucking hilarious win
1,omg fat dude leotard idk made big lmao
1,damn u wanted see sexy lesbian porn lmao
1,lol bjs blow as p
1,damn deadly keep em coming p
1,check wii whore
1,noalways happynever quite gay
1,get dome damn
1,youd television slut
1,hate
1,go give gay ladyboy husband oily body massage dont yes true
1,omfg hate iwanna go neopets wtffff everything want
1,hate much
1,lmfao see cant fuck w u u kno im dead offa al b shep
1,like u say fuck clean heck lol
1,thai suck many peanut
1,wow suck
1,reference gay suit
1,hate much
1,behind suck
1,oh damn saw trailer dark city8230 look gooood8230
1,im sick tinkerbell bitch making movie life hell
1,really suck
1,every one laugh sad gay clown
1,fuck man pick garden state leave pushing daisy alone
1,hear cook as
1,damn fat even got turkey profile pic good measure
1,tommy blow cock lol
1,ah damn ok
1,pah loser haahaha well done fella interested chat sometime
1,didnt call gay either company donated 100 g support prop 8 shrug squaresies guess
1,hate juno movie blow
1,dont care fucking kidsi want jps kid head plate
1,fucking jp losman
1,fuck family
1,damn
1,aw shuck guysare gay
1,ugh truly suck
1,communist fucking dictatorship fuck che guevara tshirts wear
1,wont miss much husband cheating shes pregnant he ax murderer son gay thats pretty much soap
1,ah shit suck
1,antler nah fuck look stupid extend paradigm happiness season fucking greeting etc etc
1,sound gay never year 12 thanks
1,yea dani thats kind gay sorry tel u lol
1,band nerd alert lol
1,lmfaooooo look emo id believe
1,oh yeah loving nikki poor nikki shes emo
1,gross needed hate lmfaooo
1,fuck att
1,damn yo
1,dick brain
1,eat as dont eat as though eatyou as
1,lol ur whale penis
1,know there bottle bourbon house hit shit tap dat as
1,bad as
1,nerd
1,damn
1,ouch suck
1,good hate diggits way gamed
1,hmmgay marriage subset gay right different animal entirely
1,ouch suck
1,saw thing made one loser know ha
1,thanks know hate also make happy see ppl care made smile good job
1,sigh telw altho youll laugh least wont think im freak tell anyone
1,dawn fucking twat best song album
1,damn yeah
1,eat much fat bastard
1,lol know shes mess ya as getting
1,would gay would kill dont become boy please
1,yeah darn gay alarm cv
1,yeah im pissed liek body tired brain isnt way around fuck idk anymore
1,yea b hate mess like
1,omg fucking got didnt im jealous
1,oh yeah radio powered pork fat
1,go back pork fat radio
1,nigella coca cola ham pig rock
1,fuck shit told people dont make account someone fuck shit
1,hey fuck lt3
1,song emo
1,ikr fucking gross get online save tardfulness
1,punk as piston
1,ur smater last year nye sick fuck came home pneumonia
1,fuck yea thx id like thank influence grandma rip sam l id also like thank great
1,lmao hot sauce indeed sheeeeit take picture wrapped fuck dumb lol
1,yeah really cute filmed two wedding need edited cant uncle suck hard
1,argh hate
1,gah damn spoiler im season threeeeee
1,oh manthat suck
1,whooo choke bitch
1,hate u jk u keep
1,took 60 50 si 2 separate night say stuff jacked dont buy betrayal suck
1,youre still alive well damn lost bet
1,way text back dick p
1,fuck yeah
1,holy fuck
1,got whale
1,damn maybe ur next twitmance whole as
1,suck 2 b washed gangsta paradise shit
1,aw dammit meant call lameduck scotsman thanks fixing lameass miss joke
1,wow totally know fine line love hate dead_by_january_i_didnt_sign_up_for_this_shit
1,never watch show even read list invariably piss
1,he retard shouldnt old enough know damn nosy butt people relationship
1,keep head upyou kick much as
1,didnt call fat keep fucking nose people business
1,oooooooohhhhhhh sht damn white woman come hahaha celebs crossover make
1,ah damn
1,hate fucking hash tag
1,loser already daniel elton john
1,pussy cock pussy wan na take
1,ive called pig help recently even
1,damn
1,hahaha well take care would hate lose homeland anyways come back safe
1,youre smug cunt must true
1,fuck yo moustache young as nigga step yo beard game
1,might get snowball fight bitch
1,could 3 would stink 2 level bet fat bonus ur picking backyard
1,neweggcom u know u new egg get 500 gig fucking 30 buck
1,semicolon sound like sort gay sex act gone wrong
1,hate get blue teeth lol
1,hour meeting foe job youre failing hate bentley dont even drive cuz gas expensive
1,damn
1,fuck jared leto forgot bday 25th birth 26th birth echelon back doooor
1,damn reply button
1,agreed ugo suck as
1,damn music ugh terrible
1,also canadian fuck
1,yeah suck
1,hate diy post office thing alb matter line still insane
1,rogue hate ability spell correctly though red communist rouge
1,hate chris
1,u know ima put jourdan as
1,omg fucking suck
1,fuck lt3
1,suck as
1,fuck yo couch yo face
1,fire lol lame as mofo
1,get as
1,nuno bettencourt ftw damn
1,fat as
1,ugly fatlol
1,couldnt agree hate sandra lee
1,im ok darlin hate body sometimes hurt inconvenient ill ok thank youuu
1,fat
1,lol hate u
1,looooool hate
1,poor little emo girl
1,damn skippy
1,suck people stupid
1,hate
1,hate u
1,injection dont work vista tried xp didnt work either crazy bug something damn c win32 api
1,terrible really suck
1,damn lost
1,dude suck
1,anyones loser
1,lol whore bathfunny
1,fat boy new song
1,gay couple getting married nyc isnt going change anyones idea marriage divorce redefined marriage
1,heores season 2 sucked full emo shit
1,love pocoyobecause im freak
1,hate
1,didnt laugh fag
1,pretty sure co2 h2o produce sugar damn long time ago
1,well suck
1,lmfao bad as
1,wow dad look like total bad as
1,coming work today e know gay day wasnt sure gay running late
1,damn tj doesnt like music must really suck guy cosign anything
1,old as nigga
1,stole slogan hate
1,happens md people totally freak
1,bitch lol jk
1,would accuse im super fucking jeslous
1,kiss icecubes formerly known as cheek
1,suck ball
1,hate
1,nerd
1,know bitch
1,god fuck fucking fuck god
1,gypsy bitch
1,lmao seen dude mad angry got as beat
1,fuck shane lol
1,oooh suck ibuprofin
1,enak aja nick carter ga gay
1,ohlala dago ktny tmpt nongkrong gay
1,damn kidding
1,man fuck altondarby
1,sigh fuck 4chan
1,haha always say girl rock cock hah
1,hate em
1,he fucking annoying would tell fuck fault unverified address gt
1,yeah man relationship bitch
1,thats horrible __ suck
1,fuck dude dont waste time damn spam user
1,fuck dude dont waste time
1,gun remind piss anymore
1,fuck fuck fuck fuck biiaaaatch
1,damn straight
1,damn hater lol
1,omg mean really really mean _ hate hifftt
1,cunt whore lololol
1,fuck u ur fucking break
1,wow suck
1,lie hate
1,damn straight
1,hate much stupid new york douche bagel
1,wish could punch square face thats much hate right
1,twitterlastfm whore p
1,doh suck
1,hate statement lol
1,fuck foo
1,really hate
1,ur gay u mall shopping
1,god damn louis
1,nerd alert
1,shut fuck micky rouke ur
1,freak
1,vtu suck gtlt
1,8 fucking
1,holy fuck girl cant stuff like
1,hate pret
1,suck
1,jealousy make hate hahaha
1,hate gangster gtgt
1,haha im trying fuck
1,hate u
1,hate u looooooool
1,lolol well hate u k thx lt3
1,super hero as blow tire
1,suck big time
1,damn go call god
1,real need stop really fuck
1,got ta hate shit
1,geek gay young age
1,fucking rock
1,yeah suck
1,thats fucking stupid say
1,suck
1,god damn thats stocking
1,damn girl fire
1,make even gay men question sexuality
1,omg suck
1,lawl fat bitchez
1,youre fat bitch think called one lmao well wan na category ha ha
1,fuck yeah
1,eat twat twitter whore
1,suck
1,happens someone tell u gator suck as lmao u pull gun stab death
1,god damn
1,nerd
1,aw suck
1,dont wan na sound gay nuthin sir arousing pic
1,lady wan na fuck tumblr
1,suck
1,fucking ellas retarded cunt alot people could beteter job shes racist black
1,mod_ella fucking cunt
1,haha ugh suck
1,as get ur last day damn
1,awe gay p
1,oh nohe grew as whippingshe steal girl heart he 20 yea baby klepto
1,damn sux
1,he gay like u lmao rest guy alergic fruit wink lmao
1,u stupid bitch said car u always work chillin regis nigga dont piss
1,hey man gay lol jk
1,pale whore
1,kept getting caught said fuck life short wan na sing key fool
1,damn betcha
1,as
1,hot as mess hahahaha
1,omg really suck anything serious
1,fuck yes lt3
1,dude shes fugly think ur desperate as cam perv
1,hahah as p hehe
1,bitchyou got working zune dont like yea got onebut aint enuff
1,closing gay xmas thing
1,wow suck
1,hate fcc evil
1,fuck
1,damn straight
1,im late emoball im even dressed unfollow pft cant take anywhere
1,problem im realllyyyy looking forward seeing gay show
1,wash yo as
1,suck
1,came angry gay guy
1,twitter whore
1,officially gay function
1,post gay hurt nsfw
1,hate
1,hell yeah fucking loser lol
1,fuck yeah
1,na bitch teacher
1,hate lol
1,aww knoow hate p
1,youre gay hate lonestar
1,shit gay
1,fuck devi slit em
1,well go local whore house
1,way really hate dont
1,damn
1,fat guy immoral proposition keep marrying vote yes
1,youre nerd fail
1,fucking ayeeeeee
1,shut fuck put hamster as
1,mom suck as dont douche obviously done ill add fucking parm noodle done
1,hate hard right
1,suck
1,talked four day ago emo cowboy fan
1,especially gay cowboy ha ha
1,bet silly as lol
1,youre nerd lol
1,hate steelers
1,fuck betty killed
1,fuck yo life nigga
1,cock gun
1,cock bull
1,hate eat dessert keep following believe cause
1,marinates penis thats gay dude
1,male chauvinist pig p
1,wow youre real cunt
1,omg total bitch jerk play game except write big fine confiscation
1,as need put blast wife see wtf he
1,payment schedulebeen theresucks as
1,fuck em heh
1,suck
1,sound like charter hate charter
1,insane babble lost yo damn mind
1,know interpretive gay dancing
1,hate
1,hahahhaha hate
1,fuck
1,fuck haha
1,whatever gay byrne voiceover shame easons running christmas ad early november
1,son bitch
1,drupal suck
1,rooster bitch
1,rooster larrys bitch
1,oh man suck lol
1,really suck
1,suck
1,ha go fuck chickhen
1,fat bastard
1,gay high crack razor sharp vagina sound like
1,mean chatted wish gay man
1,faa lalala gay apparel daa da da daaa yuletide carol la la lala laaaa
1,ok gay day today cute azn girl sock u sexed
1,fuck yea bomb
1,wtf emo as lookin bitch gtlt sigh
1,suck cock bitch allowed scared whatever want z snap
1,fuck
1,fucking br00t4l
1,ewww hate hate hate
1,hate much
1,hate
1,son bitch p
1,fuck
1,hate
1,ha suck u
1,oh wow really suck
1,hate
1,oh suck
1,aww suck
1,thats gay poor mcr
1,everything everything suck
1,suck dude
1,oh fucking gawd eye roll
1,aww soo suck
1,ga finally let inner as everyone hate
1,fuck
1,emolol jk
1,damn girl house dirty
